	46_x1_CHR	46_x1_POS	46_x2_CHR	46_x2_POS	47_x1_CHR	47_x1_POS	47_x2_CHR	47_x2_POS	95_x1_CHR	95_x1_POS	95_x2_CHR	95_x2_POS
18666	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	5	18.42	#N/A	#N/A
12798	#N/A	#N/A	#N/A	#N/A	2	65.28	33	18.45	#N/A	#N/A	#N/A	#N/A
58618	7	18.46	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
89274	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	8	18.53	#N/A	#N/A
66138	13	18.53	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
126953	13	18.53	#N/A	#N/A	13	20.8	#N/A	#N/A	17	46.12	#N/A	#N/A
101893	22	18.55	#N/A	#N/A	22	19.15	22	19.15	#N/A	#N/A	#N/A	#N/A
40559	15	18.61	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
105722	15	18.61	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
71657	#N/A	#N/A	#N/A	#N/A	18	18.61	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
87022	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	8	18.68	#N/A	#N/A
36260	#N/A	#N/A	#N/A	#N/A	10	18.71	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
84233	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	14	18.84	33	44.41
103961	25	18.9	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
122864	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	16	81.39	16	19.16
32511	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	16	19.16	#N/A	#N/A
250077	10	25.92	#N/A	#N/A	10	26.07	#N/A	#N/A	10	19.17	#N/A	#N/A
51535	3	19.24	3	44.89	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
47272	3	19.24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2991	3	44.59	3	19.55	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
104182	3	19.55	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
18239	#N/A	#N/A	#N/A	#N/A	15	19.82	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
77412	3	101.9	#N/A	#N/A	3	321.68	#N/A	#N/A	12	19.84	#N/A	#N/A
80111	#N/A	#N/A	#N/A	#N/A	3	19.85	#N/A	#N/A	12	190.02	#N/A	#N/A
38892	#N/A	#N/A	#N/A	#N/A	8	24.75	#N/A	#N/A	8	19.89	#N/A	#N/A
303258	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	6	20.12	#N/A	#N/A
53137	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	12	66.58	12	20.15
80970	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	8	20.2	#N/A	#N/A
3272	1	86.26	27	20.21	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
59751	27	21.27	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	27	20.21	#N/A	#N/A
108874	18	20.3	7	67.03	7	69.16	#N/A	#N/A	18	23.16	#N/A	#N/A
28366	#N/A	#N/A	#N/A	#N/A	30	20.31	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
86953	13	22.77	13	22.46	13	20.8	13	20.35	#N/A	#N/A	#N/A	#N/A
116315	3	104.96	3	358.28	#N/A	#N/A	#N/A	#N/A	12	20.45	#N/A	#N/A
112225	3	101.6	#N/A	#N/A	3	290.51	3	221.24	12	20.45	#N/A	#N/A
126488	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	12	20.45	#N/A	#N/A
94698	3	20.46	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
95130	#N/A	#N/A	#N/A	#N/A	3	329.31	3	20.46	#N/A	#N/A	#N/A	#N/A
122876	#N/A	#N/A	#N/A	#N/A	3	20.46	#N/A	#N/A	12	25.95	#N/A	#N/A
122370	#N/A	#N/A	#N/A	#N/A	3	55.75	3	20.46	#N/A	#N/A	#N/A	#N/A
69542	3	242.7	#N/A	#N/A	3	20.46	#N/A	#N/A	12	185.76	12	220.01
87898	#N/A	#N/A	#N/A	#N/A	3	20.46	#N/A	#N/A	12	189.42	#N/A	#N/A
19342	#N/A	#N/A	#N/A	#N/A	28	20.48	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
24165	11	21.79	#N/A	#N/A	11	20.58	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
28003	28	20.63	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	26	57.58	#N/A	#N/A
92133	#N/A	#N/A	#N/A	#N/A	26	21.76	26	21.3	26	20.7	#N/A	#N/A
34660	26	20.85	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	26	20.7	#N/A	#N/A
162459	#N/A	#N/A	#N/A	#N/A	3	89.7	3	321.37	12	20.75	12	67.49
37613	3	101.6	3	133.65	3	290.51	3	89.4	12	20.75	#N/A	#N/A
43575	3	100.99	#N/A	#N/A	3	221.24	#N/A	#N/A	12	20.75	#N/A	#N/A
223549	3	212.35	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	12	20.75	#N/A	#N/A
41904	#N/A	#N/A	#N/A	#N/A	3	322.9	3	220.93	12	20.75	#N/A	#N/A
41946	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	12	66.27	12	20.75
3893	3	161.18	3	100.99	3	89.4	#N/A	#N/A	12	20.75	#N/A	#N/A
61333	3	259.07	#N/A	#N/A	3	20.77	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
9929	3	261.55	#N/A	#N/A	3	21.07	#N/A	#N/A	12	26.25	#N/A	#N/A
41593	3	110.44	#N/A	#N/A	3	21.07	3	328.09	#N/A	#N/A	#N/A	#N/A
122560	3	137.62	3	236.88	3	21.07	3	328.09	12	60.47	#N/A	#N/A
11595	#N/A	#N/A	#N/A	#N/A	3	21.07	#N/A	#N/A	12	26.55	#N/A	#N/A
151605	#N/A	#N/A	#N/A	#N/A	3	58.18	3	21.07	12	187.29	12	60.47
67843	3	137.92	#N/A	#N/A	3	21.07	#N/A	#N/A	12	26.25	#N/A	#N/A
76701	#N/A	#N/A	#N/A	#N/A	3	21.07	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
8205	3	21.07	3	45.2	3	176.59	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
218030	3	241.47	3	259.07	3	56.36	3	21.07	12	60.47	12	187.59
29176	#N/A	#N/A	#N/A	#N/A	3	21.07	3	328.09	12	187.59	#N/A	#N/A
125882	#N/A	#N/A	#N/A	#N/A	3	21.07	3	328.09	12	60.78	12	29.29
9861	3	137.92	#N/A	#N/A	3	21.07	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
122122	3	237.49	3	137.92	3	21.07	3	58.18	#N/A	#N/A	#N/A	#N/A
93006	#N/A	#N/A	#N/A	#N/A	3	21.07	3	284.1	#N/A	#N/A	#N/A	#N/A
45595	3	356.15	3	261.55	3	57.88	3	21.07	#N/A	#N/A	#N/A	#N/A
124844	3	108.31	3	356.76	3	21.07	3	58.18	12	26.25	12	60.47
150240	#N/A	#N/A	#N/A	#N/A	3	21.07	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
124121	3	21.07	3	44.59	3	173.83	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
42006	#N/A	#N/A	#N/A	#N/A	3	21.07	3	328.09	#N/A	#N/A	#N/A	#N/A
69695	3	108.31	#N/A	#N/A	3	21.07	#N/A	#N/A	12	87.91	#N/A	#N/A
226268	3	261.24	3	137.92	3	21.07	#N/A	#N/A	12	221.53	#N/A	#N/A
24123	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	7	21.19	#N/A	#N/A
125786	#N/A	#N/A	#N/A	#N/A	7	21.19	7	22.1	7	21.8	#N/A	#N/A
93137	#N/A	#N/A	#N/A	#N/A	26	21.3	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
11741	#N/A	#N/A	#N/A	#N/A	3	21.37	#N/A	#N/A	12	186.98	12	25.95
6874	#N/A	#N/A	#N/A	#N/A	2	21.46	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2084	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2	21.46	#N/A	#N/A
87968	2	136.52	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2	21.46	2	145.95
33833	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2	21.46	#N/A	#N/A
85920	6	21.49	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
16938	1	21.55	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1	22.01	#N/A	#N/A
1706	1	21.55	#N/A	#N/A	1	28.21	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
120765	1	151.96	#N/A	#N/A	1	21.55	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
68574	1	21.55	#N/A	#N/A	1	134.7	#N/A	#N/A	1	22.92	#N/A	#N/A
76829	1	151.06	1	21.55	1	71.34	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
116245	1	21.55	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1	166.42	1	64.78
95119	1	166.42	#N/A	#N/A	1	21.55	#N/A	#N/A	1	71.34	#N/A	#N/A
38142	1	163.53	#N/A	#N/A	1	21.55	#N/A	#N/A	1	150.3	1	51.61
192087	1	21.55	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
75523	#N/A	#N/A	#N/A	#N/A	1	21.55	#N/A	#N/A	1	150.45	#N/A	#N/A
126940	#N/A	#N/A	#N/A	#N/A	1	21.55	#N/A	#N/A	1	58.05	#N/A	#N/A
31072	1	163.83	#N/A	#N/A	1	21.55	1	151.81	1	51.91	#N/A	#N/A
42304	#N/A	#N/A	#N/A	#N/A	1	21.55	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
124677	13	21.56	#N/A	#N/A	13	21.56	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
77890	#N/A	#N/A	#N/A	#N/A	6	21.64	#N/A	#N/A	6	145.91	#N/A	#N/A
245541	6	21.64	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	6	33.47	#N/A	#N/A
45383	6	21.64	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
69326	6	21.64	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
59802	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	6	21.64	#N/A	#N/A	#N/A	#N/A
100821	3	235.06	3	358.28	3	87.86	3	288.66	12	65.05	12	21.67
120940	3	135.79	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	12	21.67	#N/A	#N/A
32721	3	135.49	3	358.28	#N/A	#N/A	#N/A	#N/A	12	21.67	12	65.05
114782	1	150	#N/A	#N/A	1	21.7	#N/A	#N/A	1	54.21	#N/A	#N/A
21610	#N/A	#N/A	#N/A	#N/A	1	21.7	1	155.34	#N/A	#N/A	#N/A	#N/A
77205	#N/A	#N/A	#N/A	#N/A	1	21.7	#N/A	#N/A	1	71.34	#N/A	#N/A
97763	#N/A	#N/A	#N/A	#N/A	1	21.7	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
119506	1	163.83	#N/A	#N/A	1	21.7	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
74203	1	164.9	#N/A	#N/A	1	21.7	#N/A	#N/A	1	71.34	#N/A	#N/A
32435	#N/A	#N/A	#N/A	#N/A	1	21.7	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
73214	#N/A	#N/A	#N/A	#N/A	1	21.7	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
80265	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	22	21.72	#N/A	#N/A
119657	#N/A	#N/A	#N/A	#N/A	2	21.76	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
86429	6	21.79	#N/A	#N/A	9	84.4	#N/A	#N/A	9	99.84	#N/A	#N/A
197537	#N/A	#N/A	#N/A	#N/A	6	21.79	#N/A	#N/A	6	148.34	#N/A	#N/A
24978	#N/A	#N/A	#N/A	#N/A	6	21.79	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
104424	6	65.95	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	6	21.79	#N/A	#N/A
100269	11	21.79	#N/A	#N/A	11	22.55	11	22.55	#N/A	#N/A	#N/A	#N/A
5783	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	11	21.79	#N/A	#N/A
118900	1	163.83	#N/A	#N/A	1	21.86	#N/A	#N/A	1	51.61	#N/A	#N/A
73767	#N/A	#N/A	#N/A	#N/A	3	26.26	3	87.86	12	65.36	12	21.97
95483	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	22	22.02	#N/A	#N/A
33109	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	22	22.02	#N/A	#N/A
197942	15	22.09	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
103327	#N/A	#N/A	#N/A	#N/A	1	22.16	#N/A	#N/A	1	149.69	#N/A	#N/A
55586	3	235.36	#N/A	#N/A	3	327.48	3	22.29	12	86.38	#N/A	#N/A
4500	3	22.29	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
45092	18	22.3	7	66.58	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
127249	18	43.58	#N/A	#N/A	18	22.3	#N/A	#N/A	18	23.51	#N/A	#N/A
14847	11	22.4	#N/A	#N/A	11	22.55	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
70701	8	22.47	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
126471	18	22.47	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18	24.38	#N/A	#N/A
105145	3	22.6	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
7713	3	22.6	3	54.53	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
77796	#N/A	#N/A	#N/A	#N/A	8	22.62	#N/A	#N/A	8	24.75	#N/A	#N/A
33125	29	23.74	#N/A	#N/A	29	22.62	#N/A	#N/A	29	28.58	#N/A	#N/A
379000	29	22.62	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
24475	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	27	22.63	#N/A	#N/A
26068	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	27	22.63	#N/A	#N/A
35503	18	22.82	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
238513	18	22.82	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
109237	7	77.31	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18	22.82	#N/A	#N/A
55315	#N/A	#N/A	#N/A	#N/A	3	22.9	#N/A	#N/A	12	61.69	12	187.59
83852	#N/A	#N/A	#N/A	#N/A	3	22.9	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
23810	3	358.28	3	235.67	3	285.01	3	22.9	#N/A	#N/A	#N/A	#N/A
106890	3	235.67	#N/A	#N/A	3	22.9	#N/A	#N/A	12	89.44	#N/A	#N/A
36786	#N/A	#N/A	#N/A	#N/A	1	135.6	#N/A	#N/A	1	134.7	1	22.92
30828	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1	22.92	#N/A	#N/A
394	1	132.41	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1	22.92	#N/A	#N/A
42894	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18	22.99	#N/A	#N/A
51039	7	66.73	18	22.99	#N/A	#N/A	#N/A	#N/A	18	26.98	#N/A	#N/A
18470	#N/A	#N/A	#N/A	#N/A	7	71	#N/A	#N/A	18	22.99	#N/A	#N/A
142685	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	11	23	#N/A	#N/A
63521	15	23	#N/A	#N/A	15	23.6	15	23.6	15	24.05	#N/A	#N/A
73038	#N/A	#N/A	#N/A	#N/A	1	23.07	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
24982	#N/A	#N/A	#N/A	#N/A	1	150.15	1	23.07	#N/A	#N/A	#N/A	#N/A
88634	#N/A	#N/A	#N/A	#N/A	2	23.13	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
37790	#N/A	#N/A	#N/A	#N/A	2	23.13	#N/A	#N/A	2	107.07	#N/A	#N/A
11705	#N/A	#N/A	#N/A	#N/A	2	23.13	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
162216	#N/A	#N/A	#N/A	#N/A	2	23.13	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
120381	#N/A	#N/A	#N/A	#N/A	2	23.13	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
121202	#N/A	#N/A	#N/A	#N/A	2	23.13	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
87017	2	111.17	#N/A	#N/A	2	23.13	2	111.32	#N/A	#N/A	#N/A	#N/A
61692	#N/A	#N/A	#N/A	#N/A	2	23.13	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
82285	#N/A	#N/A	#N/A	#N/A	2	23.13	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
95072	#N/A	#N/A	#N/A	#N/A	2	113.75	#N/A	#N/A	2	23.13	#N/A	#N/A
125140	7	69.01	#N/A	#N/A	7	69.16	#N/A	#N/A	18	23.16	#N/A	#N/A
211210	3	235.67	#N/A	#N/A	3	61.59	3	23.2	#N/A	#N/A	#N/A	#N/A
23511	1	148.49	#N/A	#N/A	1	23.22	#N/A	#N/A	1	148.18	#N/A	#N/A
3804	#N/A	#N/A	#N/A	#N/A	1	149.69	1	23.22	#N/A	#N/A	#N/A	#N/A
73922	#N/A	#N/A	#N/A	#N/A	1	23.22	#N/A	#N/A	1	49.95	#N/A	#N/A
126296	#N/A	#N/A	#N/A	#N/A	1	23.22	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2176	#N/A	#N/A	#N/A	#N/A	1	23.22	#N/A	#N/A	1	49.95	#N/A	#N/A
65013	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17	23.26	#N/A	#N/A
32886	#N/A	#N/A	#N/A	#N/A	29	23.26	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
83156	29	24.19	#N/A	#N/A	29	23.26	#N/A	#N/A	29	27.07	#N/A	#N/A
9127	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2	23.28	#N/A	#N/A
38883	#N/A	#N/A	#N/A	#N/A	2	174.47	#N/A	#N/A	2	23.28	#N/A	#N/A
73394	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2	23.28	#N/A	#N/A
230439	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2	23.28	#N/A	#N/A
99107	11	23.76	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	11	23.3	#N/A	#N/A
92016	28	27.02	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	28	23.36	#N/A	#N/A
22941	1	47.98	#N/A	#N/A	1	23.37	#N/A	#N/A	1	148.49	#N/A	#N/A
62852	#N/A	#N/A	#N/A	#N/A	1	23.37	#N/A	#N/A	1	49.95	#N/A	#N/A
33980	#N/A	#N/A	#N/A	#N/A	1	23.37	#N/A	#N/A	1	49.95	#N/A	#N/A
223253	#N/A	#N/A	#N/A	#N/A	1	23.37	#N/A	#N/A	1	49.95	#N/A	#N/A
79188	#N/A	#N/A	#N/A	#N/A	1	23.37	1	149.69	1	49.95	#N/A	#N/A
120279	1	166.42	#N/A	#N/A	1	150.3	1	23.37	1	148.49	1	49.95
27432	1	166.42	#N/A	#N/A	1	23.37	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
25796	#N/A	#N/A	#N/A	#N/A	1	23.37	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
124283	#N/A	#N/A	#N/A	#N/A	1	23.37	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
117948	1	166.42	#N/A	#N/A	1	23.37	#N/A	#N/A	1	50.4	#N/A	#N/A
60231	#N/A	#N/A	#N/A	#N/A	1	23.37	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
17138	1	148.33	#N/A	#N/A	1	23.37	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
100674	#N/A	#N/A	#N/A	#N/A	2	114.96	2	23.43	2	113.75	#N/A	#N/A
26010	29	24.49	#N/A	#N/A	29	23.43	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
15032	32	24.87	#N/A	#N/A	32	28.68	#N/A	#N/A	32	23.5	#N/A	#N/A
40480	3	105.26	3	135.79	3	26.26	3	287.75	12	23.51	#N/A	#N/A
26557	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2	23.58	#N/A	#N/A
30444	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2	23.58	#N/A	#N/A
86184	#N/A	#N/A	#N/A	#N/A	2	28.24	#N/A	#N/A	2	23.58	#N/A	#N/A
16722	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2	23.58	#N/A	#N/A
370926	#N/A	#N/A	#N/A	#N/A	2	28.24	2	28.24	2	23.58	2	23.58
82534	#N/A	#N/A	#N/A	#N/A	2	28.24	#N/A	#N/A	2	23.58	#N/A	#N/A
91390	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2	23.58	#N/A	#N/A
35205	2	130.91	#N/A	#N/A	2	129.55	#N/A	#N/A	2	23.58	2	127.58
83270	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2	23.58	#N/A	#N/A
36189	#N/A	#N/A	#N/A	#N/A	2	28.24	#N/A	#N/A	2	23.58	#N/A	#N/A
120079	#N/A	#N/A	#N/A	#N/A	2	28.24	#N/A	#N/A	2	23.58	#N/A	#N/A
104852	#N/A	#N/A	#N/A	#N/A	2	28.24	#N/A	#N/A	2	23.58	#N/A	#N/A
92274	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2	23.58	#N/A	#N/A
30582	#N/A	#N/A	#N/A	#N/A	2	28.24	#N/A	#N/A	2	23.58	#N/A	#N/A
221	11	23.61	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	11	23.61	#N/A	#N/A
61662	1	46.77	#N/A	#N/A	1	23.67	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
81426	1	148.03	1	46.92	1	149.69	1	23.67	#N/A	#N/A	#N/A	#N/A
37264	1	147.88	1	46.77	1	23.67	1	149.69	#N/A	#N/A	#N/A	#N/A
64927	1	46.77	#N/A	#N/A	1	23.67	1	149.69	#N/A	#N/A	#N/A	#N/A
108206	1	147.88	#N/A	#N/A	1	149.69	1	23.67	#N/A	#N/A	#N/A	#N/A
111161	#N/A	#N/A	#N/A	#N/A	1	23.67	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
101637	1	148.03	1	47.22	1	23.67	#N/A	#N/A	1	148.49	#N/A	#N/A
20290	1	147.88	#N/A	#N/A	1	23.67	#N/A	#N/A	1	49.19	#N/A	#N/A
21865	#N/A	#N/A	#N/A	#N/A	1	23.67	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
22902	#N/A	#N/A	#N/A	#N/A	1	23.67	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
68730	#N/A	#N/A	#N/A	#N/A	29	23.74	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
35324	#N/A	#N/A	#N/A	#N/A	29	23.74	#N/A	#N/A	29	24.65	#N/A	#N/A
59511	29	23.74	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	29	24.19	#N/A	#N/A
85109	29	23.74	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
116380	29	23.74	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
99436	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	25	23.79	#N/A	#N/A
18634	#N/A	#N/A	#N/A	#N/A	24	23.9	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
90144	1	46.31	#N/A	#N/A	1	23.98	#N/A	#N/A	1	47.98	#N/A	#N/A
95252	1	44.8	#N/A	#N/A	1	23.98	#N/A	#N/A	1	46.77	#N/A	#N/A
1105	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18	24.03	#N/A	#N/A
34626	3	358.28	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	12	24.12	#N/A	#N/A
122933	32	52.71	#N/A	#N/A	13	24.13	#N/A	#N/A	32	52.71	#N/A	#N/A
65053	#N/A	#N/A	#N/A	#N/A	13	24.13	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
35929	29	24.19	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
8673	29	24.19	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
64613	1	46.01	#N/A	#N/A	1	24.28	#N/A	#N/A	1	47.83	#N/A	#N/A
122942	#N/A	#N/A	#N/A	#N/A	1	24.43	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
3885	3	358.28	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	12	24.43	#N/A	#N/A
21144	3	358.28	3	106.48	3	287.44	3	26.26	12	64.14	12	24.43
115429	10	45.24	8	24.75	8	24.45	#N/A	#N/A	8	25.81	#N/A	#N/A
241380	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	29	24.49	#N/A	#N/A
71750	#N/A	#N/A	#N/A	#N/A	10	24.55	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
29168	1	44.19	#N/A	#N/A	1	24.58	#N/A	#N/A	1	40.25	#N/A	#N/A
68625	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	29	24.65	#N/A	#N/A
80047	10	24.7	#N/A	#N/A	10	25.61	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
106411	10	25.77	#N/A	#N/A	10	27.29	#N/A	#N/A	10	24.7	#N/A	#N/A
220168	7	66.58	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18	24.72	#N/A	#N/A
9387	1	142.59	#N/A	#N/A	1	24.73	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
